2016-10-03 00:29:05|insertó  3800 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:29:21|insertó  3900 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:29:35|insertó  4000 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:29:49|insertó  4100 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:30:16|insertó  4200 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:30:38|insertó  4300 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 17:03:41|Inició session|1|www.indicadores.devel|/seguridad/seguridad/ingresar_sistema.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:03:55|insertó  4400 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:04:04|insertó  4500 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:04:12|insertó  4600 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:04:19|insertó  4700 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:04:32|insertó  4800 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:04:48|insertó  4900 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
2016-10-03 17:10:00|insertó  5000 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:49.0) Gecko/20100101 Firefox/49.0|1|127.0.0.1
